cust_id,age,acct_amount,inv_amount,account_opened,last_transaction
93E78DA3,22,41942.23,NaN,09/10/2017,15/04/2018
72DD1471,27,100683.48,87882.91,22/01/2018,17/05/2018
EC7C25A8,30,86503.33,49180.36,08/06/2017,02/04/2018
38B8CD9C,55,28834.71,27532.35,17/09/2018,05/02/2020
80C0DAB3,27,73951.45,61650.12,03/04/2017,21/09/2019
DEC6DBE4,46,32220.83,3216.72,09/08/2018,17/11/2019
3B240FEF,25,97856.46,NaN,23/05/2018,11/10/2018
82E87321,50,97833.54,61481.86,18/10/2018,21/07/2018
1903EB99,37,24267.02,22963.63,17/03/2017,21/11/2018
2F4F99C1,53,82058.48,35760.69,30/12/2018,11/08/2018
46351200,56,97595.3,82251.59,18/08/2018,20/02/2020
7D8EBAF6,52,109943.03,81490.13,02/07/2017,22/02/2020
E2EFF324,29,67297.46,57252.76,27/04/2018,10/07/2018
A1815565,32,82996.04,30898.16,07/11/2017,30/09/2019
6B094617,21,89855.98,NaN,06/02/2018,14/02/2019
C580AE41,47,96673.37,68468.28,28/09/2018,17/09/2018
B25B3B8D,57,99193.98,83364.21,28/04/2018,04/07/2019
0F0884F6,56,84505.81,47826.51,08/03/2018,24/08/2019
58F8CC80,42,87146.19,25759.85,18/10/2018,10/01/2019
56D310A8,21,88660.4,NaN,25/02/2018,29/07/2018
4A13E345,45,84107.71,4217.92,17/09/2018,09/02/2019
5AEA5AB8,56,100266.99,89342.43,09/06/2018,03/07/2019
7A4EED75,33,98923.14,20932.3,28/11/2017,01/05/2019
19C86773,49,63182.57,62692.03,09/05/2018,26/01/2020
87FDF627,56,95275.46,55888.87,26/02/2019,25/06/2018
FBAD3C91,35,99141.9,13468.4,29/05/2018,02/11/2019
BFC13E88,58,59863.77,24569.47,25/04/2018,02/04/2018
5F6A2443,57,98047.16,76216.88,15/12/2018,12/11/2019
7A2879AF,54,83345.15,45162.06,30/08/2018,09/11/2019
13770971,26,92750.87,27963.45,16/08/2017,24/04/2019
EC10469C,28,73618.75,48979.16,27/12/2018,08/06/2018
B5D367B5,39,44226.86,36572.69,16/09/2017,03/04/2019
AC91D689,53,99490.61,32150.64,01/08/2017,04/08/2019
625167AC,28,95315.71,66914.63,08/06/2017,03/07/2019
777A7F2C,30,52684.17,20970.35,27/10/2018,25/05/2019
3E51A395,46,21757.14,10582.94,04/06/2017,22/09/2018
2C5901B4,40,250046.76,90442.57,05/02/2018,11/07/2019
D4C7E817,56,26585.87,20441.92,06/05/2018,08/12/2018
DEB87C87,41,64944.62,31803.34,20/03/2018,15/11/2019
E52D4C7F,36,61795.89,49387.29,22/05/2017,24/10/2019
987DC93E,51,35924.41,14881.89,30/12/2018,06/12/2018
A07D5C92,45,99577.36,60408.99,17/11/2017,16/01/2020
078C654F,21,87312.64,NaN,14/04/2017,05/08/2018
807465A4,48,28827.59,14585.75,20/04/2017,31/07/2018
8D08495A,59,89138.52,60798.23,08/08/2018,05/02/2019
C9FB0E86,46,88682.34,26166.11,19/05/2018,06/08/2019
296A9395,48,34679.6,28459.96,24/12/2017,19/02/2019
F2158F66,41,84132.1,23714.06,07/11/2017,08/11/2018
33CA2B76,23,75508.61,NaN,16/11/2017,03/03/2019
EEBD980F,59,57838.49,50814.83,08/12/2018,04/01/2020
014E0511,27,70272.97,65969.8,09/02/2019,22/05/2019
0B44C3F8,32,33984.87,31395,10/04/2018,28/09/2019
CEC1CAE5,32,92169.14,77896.86,26/11/2017,08/10/2018
4C7F8638,23,21942.37,NaN,14/07/2018,02/02/2019
A81D31B3,24,74010.15,NaN,02/06/2018,12/09/2018
93A17007,36,40651.36,9387.87,28/05/2017,08/03/2019
E961CA44,57,27907.16,10967.69,23/10/2017,11/07/2019
